Livsmedelsnamn;Livsmedelsnummer;Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g)
Kondenserad mjölk konserv fett ca 8% ;115;136;6,8;7,6;10
Kondenserad mjölk konserv konc sockrad fett ca 9% ;116;331;7,9;8,7;54,6
Mjölkpulver fett 1% ;118;365;36,2;0,8;52
Långfil fett 3% ;119;60;3,4;3;4,8
Lättfil fett 0,5% berik;120;39;3,5;0,5;5
Lättmjölk fett 0,5% berik A- och D-vitamin  ;121;39;3,5;0,5;5
Milkshake choklad jordgubb;122;84;2;3,6;10,9
Mjölk fett 3%;123;60;3,4;3;4,8
Yoghurt naturell fett 3 % ;124;60;3,4;3;4,8
Fruktyoghurt fett 2,5%;125;97;3,3;2,5;15
Fruktyoghurt lätt fett 0,5%;126;76;3;0,5;14,3
Gammaldags mjölk fett 4,2 %;127;70;3,4;4,1;4,8
A-fil  fett 3%;128;60;3,4;3;4,8
Mellanmjölk fett 1,5% berik A- och D-vitamin;129;48;3,5;1,5;5
Mellanfil fett 1,5% berik;130;48;3,5;1,5;5
Minimjölk fett < 0,1% berik;131;36;3,5;0,1;5
Mjölkdryck jordgubb fett 1,5% berik ;133;50;3,3;1,7;5,2
Lättyoghurt naturell fett 0,5% berik;135;43;3,9;0,5;5,5
Fruktyoghurt fett 2% ;136;93;3,3;2;15
Delikatessyoghurt fett 7 %;137;129;2,5;7;14
Fruktyoghurt lätt fett < 0,05%;138;52;3,8;0,1;8,8
Yoghurt fett 5% typ Yoggi Yunior;139;127;5,6;5,1;14,6
Yoghurt fett 1,3% typ Yoplait;140;93;7;1,4;13
Yoghurt vanilj m godiskulor fett  5% typ Mellis;141;125;3;5;16,8
Kefir fett 3% ;142;60;3,4;3;4,8
Mellanmjölk fett  1,5% berik m D-vitamin;150;47;3,4;1,5;5
Lättmjölk fett 0,5% berik m D-vitamin;151;39;3,5;0,5;5
Vassle;152;25;0,8;0,1;5,1
Mjölk m vispgrädde (80% + 20%) fett ca 10% ;153;123;3,2;10,4;4,5
Filbunke m vispgrädde fett ca 5% ;154;72;3,4;4,4;4,8
Chokladdryck standardmjölk;156;88;3,6;3,2;10,8
Chokladdryck mellanmjölk;157;73;3,5;1,7;10,5
Chokladdryck lättmjölk;158;65;3,6;0,8;10,6
Chokladmjölk m banan;159;94;3;2,6;13,9
Matlagningsyoghurt fett 8% ;161;103;3,2;8;4,7
Hårt bröd fullkorn råg fibrer 15,5% Wasa husman;162;354;10;2,5;64,4
Hårt bröd fullkorn råg fibrer ca 18% Ryvita mörkt;163;349;14,6;2,5;57,6
Hårt bröd fullkorn vete vallmofrö fibrer 5,5% Siljans frukost;164;398;11,1;7,1;68,9
Hårt bröd fullkorn råg fibrer 14,5% Vika knäckebröd;165;345;9,6;2,4;63,3
Hårt bröd fullkorn råg fibrer 16% Crisp o Finn crisp;166;349;11,1;2;62,8
Hårt bröd fullkorn råg fibrer ca 15% Kavli flatbröd;167;362;9,5;2;68
Hårt bröd glutenfritt fibrer ca 7% ;168;346;6,3;2;71,1
Hårt bröd råg fullkorn fibrer ca 13% ICA handlarnas knäckebröd;169;353;9,3;2,6;65,7
Hårt bröd fullkorn råg kli fibrer ca 15% Siljans kraftknäcke;170;349;9,5;2,5;63,9
Hårt bröd fullkorn råg fibrer ca 14% Falu råg-rut;171;356;10;2,6;65,3
Hårt bröd fullkorn råg fibrer 15,5% Wasa brungräddat;172;350;10;2,4;63,5
Hårt bröd fullkorn råg fibrer ca 16% Wasa sport;173;341;10;1,9;62,1
Hårt bröd fullkorn råg sesamfrö vetekli vetegroddar fibrer 24% Wasa plus;174;355;13;8,2;45,3
Hårt bröd fullkorn råg fibrer 15,5% Wasa delikatess;175;351;10;2;64,7
Hårt bröd fullkorn havre vete råg mjölk fibrer 8% Wasa havre;178;379;13;6,8;61,7
Hårt bröd vete vallmofrö fibrer 6% Wasa frukost;180;406;11;8,5;67,7
Hårt bröd vete socker kanel fibrer ca 7% Wasa kanelknäcke;181;398;10;7,8;67,7
Hårt bröd glutenfritt fibrer ca 3% ;182;385;10;6,5;69,1
Hårt bröd fullkorn vete havre socker kli örtkryddor fibrer 10,5% Wasa knecks;183;391;12;8,4;60,9
Grahamsbröd fullkorn fibrer ca 6% ;184;239;7,4;1,5;45,5
Kornbröd fullkorn fibrer ca 3% ;185;235;5,7;4;42,2
Grahamsscones fullkorn;186;307;6,3;14;37,2
Rågbröd typ pumpernickel fullkorn fibrer ca 10% ;187;221;5,4;1,6;40,8
Ströbröd malt hårt bröd fullkorn vete råg socker fibrer ca 5% typ Wasa ;188;396;9,4;6;72,6
Hårt bröd fullkorn råg fibrer ca 14% Leksands Knäcke normalgräddat;190;349;9,1;2;66
Hårt bröd fullkorn råg vete majs surdeg fibrer 15% Pyramidbageriet;191;335;8,3;1,8;63,4
Vitt bröd vatten typ pitabröd fibrer ca 3,5% ;193;274;8,6;1,6;53,6
Korvbröd;194;285;8,1;4,1;51,2
Hårt bröd fullkorn råg fibrer ca 14% Leksands Knäcke brungräddat;195;354;9,1;2,6;65,5
Vitt bröd fullkorn typ fiberfranska mjölk fibrer ca 4% ;196;269;8,6;2,4;50,4
Vitt bröd vatten typ franska fibrer ca 3% ;197;259;8,3;2,4;48,8
Vitt bröd osötat typ italienskt fibrer ca 2,5%;198;256;8,6;1,4;50,2
Vitt bröd typ baguette fibrer ca 6% ;199;288;10,3;1,9;54
Vitt bröd grov baguette fullkorn surdeg fibrer 4,4% bakad i butik;201;260;7,6;1,2;51,7
Vitt bröd fibrer 3,5% ospec;202;266;8,2;3,6;47,7
Vitt bröd tortilla fibrer 4,6% ;203;307;7,9;6,8;50,6
Vitt bröd typ Hönökaka mjölk fibrer ca 3% ;204;293;7,4;3,1;56,7
Vitt bröd vete scones;205;295;6,8;10,3;42,7
Vitt bröd typ chapati vete ojäst fibrer 3,5% ;206;228;6,7;1,3;44,4
Rågsiktsbröd kavring fullkorn fibrer ca 7% ;207;270;5,5;4,7;47,3
Rågsiktsbröd osötat fibrer ca 3,5% ;208;261;8,4;3,2;47,3
Rågsiktsbröd fibrer ca 4% ;209;266;7,1;2,3;51,4
Grahamsbröd fullkorn m mjölk fibrer ca 5% ;210;279;8,9;5,2;46,1
Rågbröd fullkorn osötat fibrer ca 9% ;211;247;7,2;1,6;46
Rågbröd fullkorn fibrer ca 6% ;212;250;7,5;2,5;45,6
Rågbröd typ rallarhalvor fullkorn fibrer ca 9% ;213;261;6,7;1,5;49,9
Rågbröd fullkorn osötat fibrer ca 5% ;214;239;7,1;1,6;46,1
Hårt tunnbröd fullkorn vete råg korn havre mjölk fibrer 7%;216;361;10;3,5;68
Tunnbröd vitt bröd mjukt mjölk fibrer ca 4% ;217;281;8;3,1;52,4
